J_type	N-SIZE	Thk	Filler Ф2#4	Elec# Ф2#5	Elec# Ф3#25	Elec# Ф4
FW	20	3	0	0.272346801	0	0
BW	20	5.54	0.6899452292	0	0	0
FW	20	6.35	0	0.9804484836	0	0
BW	20	9.53	1.7067066196	0	0	0
FW	20	9.53	0	0	2.1061485944	0
FW	20	12.7	0	0	3.5768213198	0
FW	20	13.6	0	0	4.2304536422	0
BW	20	15.06	0.6717887758	0	1.5977678992	2.0335227808
BW	20	15.09	0.6717887758	0	1.5977678992	2.0335227808
FW	20	16.3	0	0	6.1005683424	0
BW	20	17.48	0.6717887758	0	1.7067066196	2.905032544
FW	20	22.2	0	0	11.1117494808	0
BW	20	23.8	0.6717887758	0	2.2514002216	6.2458199696
BW	20	26.19	0.6717887758	0	2.6689986498	8.261186297
BW	20	32.54	0.6717887758	0	3.2500051586	13.0544899946
BW	20	34.93	0.6717887758	0	3.540508413	14.8701353346
BW	20	38.1	0.6717887758	0	3.9762632946	18.791929269
BW	20	44.45	0.6717887758	0	4.5572698034	25.4735041202
BW	20	44.46	0.6717887758	0	4.5572698034	25.4735041202
BW	20	50.01	0.6717887758	0	5.1382763122	33.135527455
BW	20	80	0.6717887758	0	7.3170507202	65.4177016002
FW	24	3	0	0.3268161612	0	0
FW	24	3.73	0	0.3268161612	0	0
FW	24	3.91	0	0.3268161612	0	0
FW	24	4.55	0	0.56648134608	0	0
BW	24	6.35	1.11117494808	0	0	0
BW	24	6.53	1.11117494808	0	0	0
BW	24	9.52	2.04804794352	0	0	0
BW	24	9.53	2.04804794352	0	0	0
FW	24	9.53	0	0	2.52737831328	0
BW	24	12.7	0.80614653096	0	2.48380282512	0
FW	24	12.7	0	0	4.29218558376	0
BW	24	17.48	0.80614653096	0	2.04804794352	3.4860390528
FW	24	17.48	0	0	8.21397951816	0
BW	24	19.4	0.80614653096	0	2.30950087248	4.70615272128
FW	24	19.4	0	0	10.1313009972	0
FW	24	22.2	0	0	13.33409937696	0
BW	24	26	0.80614653096	0	3.20279837976	9.9134235564
FW	24	26	0	0	18.27991728312	0
BW	24	30.93	0.80614653096	0	3.72570423768	13.61734005
BW	24	30.96	0.80614653096	0	3.72570423768	13.61734005
FW	24	30.96	0	0	24.03188172024	0
BW	24	38.89	0.80614653096	0	4.77151595352	22.5503151228
BW	24	46.02	0.80614653096	0	5.81732766936	33.53133813912
BW	24	59.54	0.80614653096	0	7.38604524312	55.60232289216
BW	24	90	0.80614653096	0	8.78046086424	78.50124192024
BW	26	31.4	0.87332540854	0	4.22500670618	15.86147769024
FW	28	3	0	0.3812855214	0	0
BW	28	9.52	2.38938926744	0	0	0
BW	28	9.53	2.38938926744	0	0	0
FW	28	9.53	0	0	2.94860803216	0
BW	28	12.7	0.94050428612	0	2.89776996264	0
FW	28	12.7	0	0	5.00754984772	0
BW	28	16.3	0.94050428612	0	2.23687505888	3.4315696926
BW	28	17.5	0.94050428612	0	2.38938926744	4.0670455616
BW	28	18	0.94050428612	0	2.541903476	4.75335950012
FW	28	18	0	0	10.6759945992	0
BW	28	26	0.94050428612	0	3.73659810972	11.5656608158
FW	28	26	0	0	21.32657016364	0
BW	28	32.5	0.94050428612	0	4.55000722204	18.27628599244
BW	28	33.8	0.94050428612	0	4.75335950012	19.52181869568
FW	30	3	0	0.4085202015	0	0
BW	30	7.92	1.7974888866	0	0	0
BW	30	9.53	2.5600599294	0	0	0
FW	30	9.53	0	0	3.1592228916	0
FW	30	12.7	0	0	5.3652319797	0
BW	30	17.3	1.0076831637	0	2.5600599294	4.357548816
BW	30	20.3	1.0076831637	0	2.8868760906	6.6724966245
FW	30	20.3	0	0	13.9441562112	0
FW	30	26	0	0	22.8498966039	0
BW	30	34.7	1.0076831637	0	5.3107626195	22.3052030019
BW	30	36	1.0076831637	0	5.5286400603	25.1376097323
BW	30	36.2	1.0076831637	0	5.5286400603	25.1376097323
BW	30	42.9	1.0076831637	0	6.6180272643	34.7242171275
BW	32	12.7	1.07486204128	0	3.31173710016	0
BW	32	20.3	1.07486204128	0	3.07933449664	7.1173297328
BW	32	22.2	1.07486204128	0	3.42793840192	8.97655056096
BW	32	38.6	1.07486204128	0	6.36202127136	30.0670868304
FW	34	3	0	0.4629895617	0	0
BW	34	12.7	1.14204091886	0	3.51872066892	0
BW	34	19.4	1.14204091886	0	3.27179290268	6.66704968848
FW	34	19.4	0	0	14.3526764127	0
BW	34	23	1.14204091886	0	3.82738037672	10.61789394832
BW	34	38.5	1.14204091886	0	6.75964760082	31.9462797573
BW	34	47.1	1.14204091886	0	8.24121419826	49.63248101424
BW	34	62.2	1.14204091886	0	10.9574196269	87.07290357038
BW	36	12.7	1.20921979644	0	3.72570423768	0
BW	38	12.7	1.27639867402	0	3.93268780644	0
BW	40	12.7	1.3435775516	0	4.1396713752	0
FW	42	3	0	0.5719282821	0	0
BW	42	12.7	1.41075642918	0	4.34665494396	0
BW	42	13.6	1.41075642918	0	5.49051150816	0
BW	42	26	1.41075642918	0	5.60489716458	17.3484912237
BW	44	12.7	1.47793530676	0	4.55363851272	0
BW	48	12.7	1.61229306192	0	4.96760565024	0
FW	48	12.7	0	0	8.58437116752	0
BW	48	18	1.77908199936	0	4.808329728	8.99157659136
BW	48	37	1.77908199936	0	10.14557572608	47.02546473984
BW	52	12.7	1.74665081708	0	5.38157278776	0
BW	56	13.4	1.88100857224	0	7.32068201088	0
BW	60	14.2	2.0153663274	0	9.3142605942	0
BW	60	15.88	2.0153663274	0	4.7933036976	6.1005683424
FW	60	15.88	0	0	16.1773999794	0
BW	60	37	2.2238524992	0	12.6819696576	58.7818309248
BW	64	15	2.14972408256	0	5.11285727744	6.50727289856
BW	72	16.7	2.41843959288	0	5.75196443712	8.8240363524
